transaction_id,merchant_id,amount,payment_method,channel,region,account_age_days,device_age_days,velocity_1h,velocity_24h,distance_km,ip_risk,failed_attempts_24h,chargeback_history,new_device,new_account,night_txn,fraud
TXN0000000,M0387,406.18,card,web,IN-DL,360,1480,3,8,9.1,0.2016,6,0,0,0,1,1
TXN0000001,M0259,148.66,card,ios,IN-DL,200,282,2,7,121.5,0.1856,1,0,0,0,0,0
TXN0000002,M0179,123.78,card,web,IN-TN,872,948,3,10,38.2,0.2826,1,0,0,0,1,0
TXN0000003,M0041,90.13,upi,web,IN-TN,100,1216,3,9,32.8,0.4541,4,0,0,0,0,0
TXN0000004,M0067,168.4,upi,web,IN-UP,1604,227,4,10,157.1,0.3188,3,0,0,0,0,1
TXN0000005,M0193,126.22,netbanking,android,IN-KA,566,676,1,8,48.9,0.3034,0,0,0,0,0,0
TXN0000006,M0349,40.53,upi,ios,IN-DL,1176,1095,3,8,115.0,0.3873,3,0,0,0,1,0
TXN0000007,M0252,82.11,upi,api,IN-DL,1171,1145,1,7,23.3,0.2498,2,0,0,0,1,0
TXN0000008,M0199,399.96,upi,api,IN-KA,70,621,4,11,43.2,0.2359,0,0,0,0,1,0
TXN0000009,M0250,120.34,upi,android,IN-WB,1093,348,3,15,25.2,0.5975,5,0,0,0,0,1
TXN0000010,M0112,81.64,card,ios,IN-TN,1135,1139,1,4,39.3,0.3754,0,0,0,0,0,0
TXN0000011,M0014,188.57,card,android,IN-UP,228,730,6,14,109.0,0.2229,2,0,0,0,0,1
TXN0000012,M0218,293.41,card,android,IN-TN,1045,1133,1,6,64.3,0.5213,1,0,0,0,0,0
TXN0000013,M0112,344.85,card,api,IN-WB,166,551,3,7,14.3,0.179,1,0,0,0,1,0
TXN0000014,M0203,252.36,card,ios,IN-KA,833,983,2,10,160.3,0.1275,0,0,0,0,0,0
TXN0000015,M0114,603.0,card,web,IN-MH,337,375,4,16,127.7,0.2791,2,0,0,0,0,0
TXN0000016,M0002,189.07,upi,ios,IN-MH,589,1422,2,7,75.9,0.5093,1,0,0,0,1,0
TXN0000017,M0362,142.15,wallet,android,IN-TN,1573,1403,3,4,13.8,0.3397,2,0,0,0,1,0
TXN0000018,M0046,431.13,upi,android,IN-TN,1617,138,1,7,87.2,0.318,1,1,0,0,0,0
TXN0000019,M0354,88.63,upi,api,IN-UP,1677,1,3,10,50.3,0.2854,2,1,1,0,0,1
TXN0000020,M0024,120.15,upi,web,IN-UP,1727,463,3,12,97.1,0.5811,0,0,0,0,0,0
TXN0000021,M0011,36.59,card,android,IN-GJ,939,435,1,8,46.0,0.1206,1,0,0,0,0,0
TXN0000022,M0030,1104.16,card,api,IN-DL,1551,288,2,10,123.4,0.3707,1,1,0,0,0,1
TXN0000023,M0106,1448.6,card,web,IN-DL,1624,1002,4,12,144.1,0.1785,2,0,0,0,0,1
TXN0000024,M0307,151.1,upi,android,IN-MH,498,654,1,8,76.9,0.3116,2,0,0,0,0,0
TXN0000025,M0151,386.23,card,android,IN-UP,237,986,3,9,32.0,0.3002,1,0,0,0,0,0
TXN0000026,M0141,362.31,card,ios,IN-DL,713,1281,3,7,18.4,0.1073,1,0,0,0,0,0
TXN0000027,M0282,217.53,card,android,IN-UP,1183,174,3,16,109.3,0.2961,2,0,0,0,0,0
TXN0000028,M0350,606.94,upi,api,IN-UP,214,689,2,9,55.3,0.2836,2,0,0,0,1,1
TXN0000029,M0276,50.81,upi,api,IN-MH,1168,2,2,13,7.5,0.4012,2,0,1,0,1,0
TXN0000030,M0127,149.62,card,android,IN-TN,586,396,2,9,81.5,0.288,0,0,0,0,0,0
TXN0000031,M0312,22.33,upi,web,IN-WB,809,1227,3,9,44.6,0.4755,1,0,0,0,0,1
TXN0000032,M0314,65.49,upi,ios,IN-GJ,687,119,1,5,173.1,0.4546,0,0,0,0,0,0
TXN0000033,M0045,35.42,card,android,IN-UP,1328,1245,1,3,19.5,0.4526,3,0,0,0,1,0
TXN0000034,M0011,28.65,upi,ios,IN-KA,594,1090,3,14,67.0,0.3191,5,0,0,0,0,1
TXN0000035,M0150,109.68,card,android,IN-GJ,855,1076,6,17,24.6,0.089,1,0,0,0,0,0
TXN0000036,M0021,259.26,upi,android,IN-UP,1137,245,3,7,64.6,0.2924,1,0,0,0,0,0
TXN0000037,M0168,92.55,upi,api,IN-MH,1541,1436,4,9,79.4,0.628,0,0,0,0,0,0
TXN0000038,M0293,104.36,upi,api,IN-GJ,824,1393,3,11,31.9,0.3083,0,1,0,0,0,0
TXN0000039,M0168,86.33,upi,ios,IN-GJ,245,430,2,6,188.5,0.2249,0,0,0,0,0,0
TXN0000040,M0308,207.13,netbanking,web,IN-UP,1008,231,4,8,28.4,0.5023,3,0,0,0,0,0
TXN0000041,M0392,98.34,card,api,IN-UP,32,667,4,9,57.3,0.2816,3,0,0,0,0,0
TXN0000042,M0065,65.79,card,android,IN-KA,1194,1357,4,8,110.5,0.2815,1,0,0,0,0,0
TXN0000043,M0238,457.27,upi,ios,IN-GJ,681,82,4,9,44.4,0.4406,1,0,0,0,0,0
